individual,day,steps,true_mu_i,true_tau2_i,x_i,mu_i_posterior,posterior_var
1,1,9991,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,2,10036,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,3,9976,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,4,9932,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,5,9970,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,6,9993,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,7,10019,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,8,9985,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,9,9900,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
1,10,9960,9978.419888355636,15000,9976.2,9989.243200244462,3277.5948264200315
2,1,10061,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,2,10123,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,3,10065,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,4,10099,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,5,9988,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,6,9951,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,7,10032,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,8,9996,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,9,10142,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
2,10,9980,10049.63944625326,15000,10043.7,10033.490730401134,3277.5948264200315
3,1,9964,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,2,9931,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,3,9924,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,4,9952,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,5,9925,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,6,9879,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,7,9792,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,8,9824,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,9,9972,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
3,10,9892,9956.027669389036,15000,9905.5,9942.898009398883,3277.5948264200315
4,1,9905,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,2,9935,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,3,9946,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,4,9893,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,5,9909,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,6,9933,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,7,10036,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,8,10030,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,9,10124,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
4,10,9981,9933.76156893018,15000,9969.2,9984.654567487476,3277.5948264200315
5,1,9879,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,2,9882,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,3,9876,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,4,9943,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,5,9860,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,6,9843,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,7,10096,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,8,9948,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,9,9851,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
5,10,9974,9870.056506768937,15000,9915.2,9949.256543362138,3277.5948264200315
6,1,9876,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,2,9932,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,3,9832,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,4,9785,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,5,9708,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,6,9761,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,7,9710,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,8,9790,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,9,9724,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
6,10,9856,9807.65496255114,15000,9797.4,9872.036409251683,3277.5948264200315
7,1,9962,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,2,10112,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,3,10051,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,4,10008,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,5,9879,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,6,10135,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,7,10050,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,8,10090,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,9,10018,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
7,10,9985,10034.795709579548,15000,10029.0,10023.85460161146,3277.5948264200315
8,1,9783,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,2,10020,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,3,9994,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,4,9895,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,5,9933,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,6,9837,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,7,10007,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,8,9982,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,9,9924,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
8,10,9844,9887.602967786386,15000,9921.9,9953.648520429542,3277.5948264200315
9,1,9887,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,2,10078,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,3,9965,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,4,9970,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,5,9935,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,6,10063,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,7,10046,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,8,10038,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,9,10116,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
9,10,9896,9978.05514240576,15000,9999.4,10004.451240239052,3277.5948264200315
10,1,10036,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,2,10050,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,3,10061,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,4,10001,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,5,9929,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,6,9974,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,7,10097,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,8,10078,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,9,10143,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
10,10,10068,10042.285470736311,15000,10043.7,10033.490730401134,3277.5948264200315
11,1,10076,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,2,9978,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,3,10014,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,4,10115,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,5,10138,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,6,10142,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,7,10018,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,8,9980,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,9,10030,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
11,10,10040,10055.31706474248,15000,10053.1,10039.652608674804,3277.5948264200315
12,1,9934,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,2,10103,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,3,10048,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,4,10000,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,5,10135,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,6,10058,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,7,10016,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,8,9983,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,9,9941,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
12,10,9999,10034.275415029168,15000,10021.7,10019.069313164886,3277.5948264200315
13,1,10110,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,2,10073,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,3,10381,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,4,10243,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,5,10313,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,6,10197,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,7,10241,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,8,10359,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,9,10131,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
13,10,10199,10259.650351908273,15000,10224.7,10152.139663117538,3277.5948264200315
14,1,9880,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,2,9900,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,3,9897,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,4,9858,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,5,9889,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,6,9841,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,7,9879,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,8,9875,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,9,9782,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
14,10,9900,9872.603335106136,15000,9870.1,9919.692638027831,3277.5948264200315
15,1,10386,10294.9008062031,15000,10328.0,10219.854772231376,3277.5948264200315
