T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
1.0000,0.5265,0.0080,0.5240,0.0088,0.5189,0.0085,EB
11.0000,3.5193,0.0274,3.6621,0.0587,2.8270,0.0232,EB
21.0000,4.1849,0.0298,6.4382,0.1128,3.3808,0.0233,EB
31.0000,4.5245,0.0287,9.1634,0.1603,3.7581,0.0233,EB
41.0000,4.8362,0.0304,11.8853,0.2142,4.0449,0.0254,EB
51.0000,5.0591,0.0307,14.6434,0.2670,4.2953,0.0284,EB
61.0000,5.1892,0.0347,17.8669,0.3433,4.5173,0.0315,EB
71.0000,5.3416,0.0295,20.1380,0.3705,4.7066,0.0291,EB
81.0000,5.5133,0.0336,23.5683,0.3928,4.8512,0.0305,EB
91.0000,5.6639,0.0377,25.7448,0.4486,4.9063,0.0314,EB
101.0000,5.6852,0.0327,28.1043,0.4963,5.0329,0.0310,EB
111.0000,5.8588,0.0373,30.8495,0.5219,5.1517,0.0330,EB
121.0000,5.9700,0.0345,33.4916,0.6296,5.2222,0.0374,EB
131.0000,6.0711,0.0360,36.6281,0.7066,5.3199,0.0373,EB
141.0000,6.1655,0.0378,41.3881,0.6545,5.4978,0.0399,EB
151.0000,6.1923,0.0393,42.0617,0.7250,5.5190,0.0392,EB
161.0000,6.2605,0.0399,45.5152,0.8676,5.6142,0.0392,EB
171.0000,6.3036,0.0413,48.1709,0.8227,5.6390,0.0382,EB
181.0000,6.3667,0.0397,49.7681,0.8681,5.8267,0.0438,EB
191.0000,6.4457,0.0389,54.4524,1.0171,5.9154,0.0474,EB
